film_id,canonical_title,display_title,release_year,release_month,release_month_num,release_date,primary_genre,secondary_genre,all_genres,sequel_flag,remake_flag,director,lead_actor_1,lead_actor_2,cast_list,writer_list,production_house,actor_rank_score,actor_tier_proxy,director_rank_score,director_tier_proxy,budget_cr,budget_usd,worldwide_gross_cr,worldwide_gross_usd,domestic_gross_cr,domestic_gross_usd,opening_day_cr,opening_weekend_cr,runtime_minutes,imdb_id,imdb_rating,content_score_clarity,content_score_novelty,content_score_execution,content_score_originality,content_score_structure,content_score_pacing,content_score_engagement,content_score_authenticity,verdict_raw,financial_data_confidence,is_synthetic,source,data_version,last_updated
BOLLY_2010_0032_lahore,Lahore,Lahore,2010,March,3,2010-03-19,Action,,Action | Drama | Sport,No,,Sanjay Puran Singh Chauhan,Aanaahad,Shraddha Das,Farooq Shaikh | Nafisa Ali | Aanaahad | Sabyasachi Chakraborty,Sanjay Puran Singh Chauhan (dialogue) | Sanjay Puran Singh Chauhan (screenplay) | Sanjay Puransingh Chauhan (story) | Panchhi Jalonvi (lyrics) | Hriday Lani (collaborating writer) | Piyush Mishra (dialogue) | Piyush Mishra (screenplay) | Junaid Wasi (lyrics),Warner Bros. Pictures,,D,,,,,,,,,,,,tt1285245,6.3,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2010_0033_love_sex_aur_dhokha,Love Sex Aur Dhokha,Love Sex Aur Dhokha,2010,March,3,,Drama,,Drama,No,,Dibakar Banerjee,,,,,Balaji Motion Pictures,,,2.863,D,2,,9.8,,,,,,,,,,,,,,,,,hitFlop=5,High,,wikipedia,2.0,2026-07-02
BOLLY_2010_0034_shaapit,Shaapit,Shaapit,2010,March,3,,Romance,,Romance,No,,Vikram Bhatt,Aditya Narayan,Rahul Dev,Aditya Narayan,,ASA Productions & Enterprises,,D,2.9028,D,,,,,,,,,,,,,,,,,,,,,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2010_0035_hum_tum_aur_ghost,Hum Tum Aur Ghost,Hum Tum Aur Ghost,2010,March,3,2010-03-26,Drama,,Comedy | Drama | Fantasy,No,,Kabeer Kaushik,Arshad Warsi,Dia Mirza,Arshad Warsi | Dia Mirza | Boman Irani | Sandhya Mridul,Arshad Sayed (screenplay) | Soumik Sen (screenplay) | Arshad Warsi (screenplay) | Arshad Warsi (story),"Indian Films, Studio 18",3.5596,D,1.2309,D,21,,8.01,,,,,,,tt1465493,4.9,,,,,,,,,hitFlop=1,High,,wikipedia,2.0,2026-07-02
BOLLY_2010_0036_mittal_v_s_mittal,Mittal v/s Mittal,Mittal v/s Mittal,2010,March,3,2010-03-19,Drama,,Drama,No,,Karan Razdan,Rituparna Sengupta,Rohit Roy,Hazel Croney | Gulshan Grover | Iravati Harshe | Suchitra Krishnamoorthi,,,1,D,1.4335,D,,,,,,,,,,tt1607607,0.0,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2010_0037_my_friend_ganesha_3,My Friend Ganesha 3,My Friend Ganesha 3,2010,July,7,2010-03-26,Action,,Animation | Comedy | Drama,No,,Rajiv S. Ruia,Baba Sehgal,Sayaji Shinde,Makarand Anaspure | Krishna Bhatt | Sonika Gill | Eva Grover,Shabbir Ahmed (lyrics) | Rajiv S. Ruia (story) | S. Sachindra,"Baba Arts, Liquid Pictures",,D,1.1221,D,,,1.59,,,,,,,tt1796564,,,,,,,,,,hitFlop=1,Low,,wikipedia,2.0,2026-07-02
BOLLY_2010_0038_prem_kaa_game,Prem Kaa Game,Prem Kaa Game,2010,February,2,2010-02-26,Comedy,,Comedy | Drama,No,,Ashok Kheny,Arbaaz Khan,Tara Sharma,Arbaaz Khan | Madhuri Bhattacharya | Tara Sharma | Johnny Lever,Javed Akhtar (lyrics) | Abbas Hirapurwala (dialogue) | B.A. Madhu (screenplay),,2.5366,D,,,,,,,,,,,,tt1610418,0.0,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2010_0039_well_done_abba,Well Done Abba,Well Done Abba,2010,March,3,,Comedy,,Comedy,No,,Shyam Benegal,Boman Irani,Minissha Lamba,Boman Irani,,Reliance Big Pictures,3.6468,D,,,,,,,,,,,,,,,,,,,,,,,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2010_0040_pankh,Pankh,Pankh,2010,April,4,2010-04-02,Drama,,Drama,No,,Sudipto Chattopadhyaya,Bipasha Basu,Maradona Rebello,Bipasha Basu | Lillete Dubey | Mahesh Manjrekar | Ronit Roy,Sudipto Chattopadhyay (story) | Sudipto Chattopadhyay,,4.5712,D,,,5.5,,0.20249999999999999,,,,,,,tt1124386,4.3,,,,,,,,,hitFlop=1,High,,wikipedia,2.0,2026-07-02
BOLLY_2010_0041_sadiyaan,Sadiyaan,Sadiyaan,2010,April,4,,Drama,,Drama,No,,Raj Kanwar,Luv Sinha,Ferena Wazeir,Luv Sinha,,,,,3.0499,D,,,,,,,,,,,,,,,,,,,,,Missing/Partial,,wikipedia,2.0,2026-07-02
